plot_id,species_id,hindfoot_length
2,NL,32.0
3,NL,33.0
2,DM,37.0
7,DM,36.0
3,DM,35.0
1,PF,14.0
2,PE,
1,DM,37.0
1,DM,34.0
6,PF,20.0
5,DS,53.0
7,DM,38.0
3,DM,35.0
8,DM,
6,DM,36.0
4,DM,36.0
3,DS,48.0
2,PP,22.0
4,PF,
11,DS,48.0
14,DM,34.0
15,NL,31.0
13,DM,36.0
13,SH,21.0
9,DM,35.0
15,DM,31.0
15,DM,36.0
11,DM,38.0
11,PP,
10,DS,52.0
15,DM,37.0
10,DM,35.0
11,DM,36.0
17,DM,
13,DM,38.0
16,OT,22.0
11,DM,35.0
17,NL,33.0
11,DM,36.0
20,DM,36.0
23,DM,34.0
18,DS,46.0
21,DM,36.0
18,DM,35.0
22,DM,36.0
19,DM,35.0
18,DM,32.0
20,DM,36.0
12,PP,17.0
18,DM,32.0
21,DM,36.0
12,DM,26.0
22,DM,36.0
18,DM,37.0
23,DM,36.0
20,DM,34.0
22,DM,
12,DS,45.0
19,DM,33.0
19,PE,20.0
23,DM,35.0
19,DM,35.0
3,DM,35.0
7,DM,37.0
4,DM,34.0
4,DM,35.0
7,DM,35.0
8,DO,32.0
2,PF,15.0
3,OX,21.0
7,DM,36.0
2,NL,31.0
3,DS,44.0
8,PF,12.0
8,DM,32.0
9,DS,47.0
4,SS,
1,PF,16.0
7,DM,34.0
1,DS,48.0
4,PF,14.0
4,DM,35.0
6,DM,37.0
19,DM,35.0
23,DM,35.0
18,DM,33.0
5,PF,11.0
18,DM,35.0
12,PP,20.0
18,DM,35.0
11,DS,50.0
6,DM,35.0
18,DM,
18,DM,36.0
23,DM,38.0
12,DM,36.0
18,DM,36.0
5,DM,38.0
11,DM,37.0
5,DS,54.0
5,DM,35.0
23,DM,35.0
18,DM,35.0
11,DS,43.0
19,DM,35.0
12,NL,
18,NL,
11,PP,21.0
6,DM,35.0
10,DS,
11,DM,37.0
23,DM,37.0
5,PF,13.0
15,DM,32.0
21,DM,34.0
13,DM,37.0
21,OX,19.0
17,DM,33.0
20,DM,35.0
20,DM,35.0
15,NL,
22,DM,33.0
17,DM,37.0
14,DM,36.0
22,DM,35.0
20,DM,30.0
14,DM,33.0
15,DM,34.0
14,DM,34.0
16,DM,34.0
22,DM,37.0
22,DM,33.0
15,DM,37.0
17,DS,45.0
15,DM,35.0
13,PF,16.0
20,DM,35.0
22,DM,37.0
14,PF,15.0
20,DM,33.0
16,DM,36.0
17,DM,34.0
15,DM,35.0
15,DS,40.0
13,DM,37.0
13,DM,36.0
13,DM,37.0
14,DM,37.0
20,DS,50.0
21,DM,35.0
13,DM,35.0
14,DM,38.0
16,DS,50.0
20,DS,47.0
20,DS,
21,DM,35.0
20,DM,36.0
22,DM,36.0
5,DS,53.0
21,DM,37.0
5,DM,37.0
6,DM,39.0
12,PP,21.0
22,DM,36.0
19,DS,50.0
21,OX,13.0
6,DM,36.0
12,DM,36.0
5,DM,37.0
20,DM,36.0
12,NL,
22,PF,
12,DM,36.0
12,DM,37.0
19,DM,33.0
12,DS,45.0
5,OX,
18,DM,33.0
12,DM,37.0
6,DM,34.0
20,DM,35.0
21,DS,49.0
5,DM,37.0
20,DS,52.0
12,OX,19.0
19,DM,34.0
17,DM,36.0
14,DS,48.0
17,DM,33.0
7,DM,36.0
17,DS,47.0
4,DM,36.0
7,PE,
11,NL,
4,DS,50.0
7,PF,15.0
14,DM,37.0
4,DM,35.0
11,DM,36.0
17,DS,52.0
10,DS,47.0
17,DM,32.0
11,DM,38.0
16,DM,37.0
16,DS,50.0
23,DS,52.0
16,DS,53.0
14,DM,37.0
17,DM,35.0
11,DM,36.0
4,DS,48.0
16,PF,
14,DM,35.0
17,NL,
14,DM,36.0
4,PF,13.0
3,PP,19.0
1,PF,13.0
13,DM,36.0
2,DS,52.0
3,DM,
1,DS,52.0
8,DS,50.0
2,NL,
15,DM,
2,DM,37.0
15,DM,
9,DM,38.0
13,DM,35.0
15,DM,
15,DS,
9,DS,48.0
2,DM,25.0
9,DM,35.0
13,DM,37.0
9,DS,47.0
9,DS,50.0
2,PE,20.0
1,DS,48.0
9,DS,53.0
3,DS,
2,OX,19.0
6,DM,38.0
22,DM,36.0
2,DM,37.0
13,DM,37.0
2,DS,54.0
22,OT,
13,DM,36.0
18,DS,51.0
2,DM,36.0
6,DS,53.0
20,DM,38.0
20,DM,36.0
18,DM,35.0
6,DM,36.0
2,DM,37.0
18,DM,36.0
2,DM,36.0
22,DM,36.0
6,DM,36.0
20,PE,19.0
1,DM,37.0
9,DS,49.0
9,DM,38.0
2,NL,
22,DS,46.0
2,DM,36.0
6,DM,37.0
1,DM,36.0
9,DS,50.0
18,NL,
9,DM,37.0
2,OL,20.0
20,DM,37.0
1,DS,50.0
6,OL,20.0
9,DS,50.0
2,PE,19.0
18,DM,37.0
20,NL,
22,NL,
6,DM,34.0
13,DM,37.0
1,DM,36.0
20,DS,50.0
17,DM,38.0
17,DM,37.0
14,DM,38.0
17,DM,33.0
11,DS,47.0
3,DO,36.0
4,DM,36.0
3,DO,37.0
11,DM,36.0
17,OT,18.0
11,NL,
19,DM,36.0
17,OT,19.0
14,DS,
17,DS,48.0
19,DM,36.0
3,DM,36.0
21,DM,37.0
14,DM,35.0
16,DM,33.0
19,DM,36.0
4,DS,48.0
17,DS,49.0
11,DS,
19,RM,18.0
11,DM,36.0
19,DM,35.0
14,NL,
3,DM,36.0
15,DM,37.0
17,DO,32.0
17,DM,33.0
14,DM,36.0
17,DM,35.0
17,OL,
4,DS,47.0
17,DO,33.0
7,,
10,,
23,,
8,DS,50.0
16,DM,
5,DS,47.0
5,DM,37.0
12,DS,50.0
12,PF,16.0
19,OX,
5,DM,37.0
5,DS,52.0
12,DM,36.0
8,DO,35.0
12,DM,37.0
8,DS,49.0
12,DM,36.0
5,DS,50.0
16,DM,34.0
21,PF,
3,NL,
22,DM,34.0
2,DM,37.0
6,DM,38.0
13,DM,36.0
2,NL,
2,DM,37.0
22,OL,
1,DM,36.0
18,NL,
2,DM,38.0
2,OT,
1,DO,32.0
9,DS,50.0
13,PF,16.0
18,DM,36.0
20,DM,35.0
2,DM,36.0
1,DS,51.0
2,NL,
9,DM,37.0
1,DM,38.0
2,OL,
20,DS,51.0
9,PF,16.0
20,DM,36.0
9,DM,35.0
13,DM,36.0
22,DM,36.0
6,DM,34.0
18,DM,37.0
9,PF,15.0
1,PF,15.0
9,DS,48.0
1,DO,33.0
14,DM,36.0
17,DM,33.0
17,DS,48.0
17,DM,37.0
11,DS,52.0
11,DM,36.0
17,DS,50.0
21,OL,
21,OL,
11,DM,36.0
14,DS,
11,NL,
11,PF,15.0
11,DS,53.0
14,NL,
4,DS,48.0
14,DM,36.0
14,DM,36.0
17,RM,16.0
4,DS,50.0
17,DM,36.0
21,OL,
3,,
15,,
19,,
12,DM,37.0
12,DS,
12,NL,
5,DS,50.0
8,PF,9.0
12,DM,36.0
5,DS,53.0
5,DM,36.0
5,DS,52.0
8,DS,49.0
8,DO,34.0
5,DM,36.0
7,,
10,,
16,,
23,,
13,DM,38.0
9,DS,51.0
2,DM,37.0
13,DM,36.0
2,DM,37.0
20,DM,36.0
22,DM,36.0
2,DM,37.0
9,DO,33.0
1,DM,
9,PF,15.0
2,OT,
2,PF,
9,DM,38.0
13,PF,16.0
2,NL,
18,DM,37.0
18,DM,37.0
2,DM,36.0
20,DM,36.0
1,PF,16.0
2,OL,
9,OT,
13,DM,35.0
6,DM,38.0
9,OL,
2,OT,
18,DM,37.0
20,DS,51.0
2,DM,35.0
1,DO,33.0
9,DS,51.0
2,OT,
9,DM,36.0
1,DM,36.0
7,,
10,,
16,,
19,,
23,,
12,DS,
14,DM,36.0
17,DM,36.0
4,DS,49.0
5,DS,49.0
5,NL,
4,DS,51.0
8,DO,32.0
11,DM,35.0
12,NL,
4,PF,15.0
5,OT,
11,DS,49.0
21,OT,
8,PF,15.0
11,NL,
8,DS,
17,DS,47.0
3,OT,
14,DM,36.0
14,DS,47.0
17,DM,35.0
17,DM,37.0
8,DS,49.0
11,DM,37.0
11,DS,52.0
14,NL,
12,DM,38.0
12,DM,37.0
11,OT,
14,DM,37.0
11,DS,48.0
12,DS,49.0
4,DS,49.0
4,OT,
17,NL,
17,DM,36.0
5,OT,
3,PF,16.0
11,DS,51.0
21,OT,
21,OT,
5,DM,36.0
15,,
3,OL,
13,DM,36.0
2,NL,
2,DM,35.0
20,DM,36.0
3,NL,
13,PF,16.0
2,DM,36.0
9,DS,48.0
2,OL,
9,PF,16.0
9,DO,
9,DM,38.0
2,PE,26.0
2,DM,36.0
2,DM,38.0
3,PF,15.0
2,DM,36.0
2,DM,37.0
2,DM,36.0
20,DM,
6,DM,34.0
9,DS,51.0
2,DM,37.0
20,DS,51.0
9,DM,36.0
13,DM,37.0
20,NL,
2,PF,
2,DM,
2,OT,
7,,
22,,
14,OT,
17,DM,36.0
17,DM,34.0
17,DS,47.0
11,DM,36.0
1,DM,36.0
4,DS,49.0
14,OL,
1,DM,38.0
11,NL,
8,OT,
8,DS,53.0
11,DM,38.0
14,DM,36.0
4,DS,50.0
11,DS,51.0
8,DS,50.0
14,NL,
14,DS,48.0
17,DM,36.0
11,DM,37.0
1,DS,49.0
14,DM,36.0
17,DS,50.0
11,DS,53.0
19,,
23,,
18,DS,51.0
12,NL,
18,DM,36.0
12,DM,36.0
21,OT,
5,DS,
5,OT,
18,DM,
18,DM,38.0
5,DS,
18,DM,34.0
18,DM,38.0
18,DM,36.0
21,OT,
18,DM,
5,DM,
12,DM,
10,,
15,,
16,,
3,OT,
2,DS,53.0
13,DM,35.0
2,OX,
2,NL,
20,DM,39.0
2,PF,16.0
6,DM,38.0
22,DM,39.0
2,DM,38.0
9,DM,38.0
2,DM,37.0
9,DS,
20,DM,33.0
2,OT,
3,OT,15.0
2,DM,37.0
2,DM,36.0
13,DM,37.0
2,OT,
2,PE,22.0
19,,
23,,
5,DM,36.0
17,DM,34.0
4,DS,49.0
17,DM,37.0
21,OT,20.0
4,DS,
5,DS,49.0
4,DS,49.0
5,DS,49.0
11,DM,36.0
11,DM,38.0
14,DS,47.0
14,DM,39.0
8,DS,49.0
4,PF,
17,DS,46.0
21,OT,
4,DM,35.0
5,DM,35.0
17,OL,20.0
17,DM,
11,DM,
14,NL,
5,OT,18.0
5,OT,20.0
7,,
8,DS,55.0
10,,
15,DM,38.0
18,DM,36.0
18,DM,38.0
12,DM,37.0
1,DM,35.0
12,DS,50.0
15,DM,38.0
1,DM,36.0
15,DM,35.0
18,DM,38.0
12,DM,38.0
18,NL,32.0
1,DS,52.0
16,DM,37.0
16,DM,35.0
2,PF,15.0
20,DM,38.0
2,PF,14.0
22,DS,47.0
22,DM,37.0
3,NL,32.0
9,DS,49.0
2,DS,54.0
3,OT,21.0
20,OT,20.0
2,DM,37.0
2,NL,
13,PF,15.0
2,OT,18.0
2,DM,35.0
20,DM,35.0
13,OL,21.0
20,DM,35.0
3,OT,21.0
9,DS,50.0
2,OT,20.0
2,PE,20.0
3,PF,15.0
2,PE,
20,DS,49.0
6,,
23,,
5,DS,52.0
4,DS,49.0
5,DS,49.0
17,DM,
14,DS,
21,OT,
21,PF,
4,DM,35.0
17,DS,
4,PF,
5,DS,
4,DS,48.0
11,DS,53.0
11,DM,36.0
4,DS,50.0
14,DM,
21,OT,
11,DM,37.0
17,RM,
5,DM,37.0
11,DM,36.0
14,DM,
5,DM,36.0
5,DM,37.0
17,OL,
5,DM,35.0
17,DS,
5,DM,35.0
11,DS,
17,OT,
17,DM,
5,OT,20.0
10,,
8,DS,49.0
18,DM,37.0
15,DM,36.0
8,OT,15.0
15,DM,
18,DM,36.0
15,DM,35.0
1,DM,
